id,year,citation_count,reference_count,patent_count,doctype,is_retracted,team_size,institution_count,in_degree,out_degree,total_degree
W3114407960,2020,3,17,0,preprint,False,2,1,1,1,2
W3122032510,2017,3,73,0,preprint,False,2,1,0,5,5
W4205656275,2022,3,48,0,article,False,4,3,0,1,1
W4206194903,2021,3,12,0,article,False,5,4,2,2,4
W4317389017,2023,3,72,0,article,False,14,6,0,1,1
W4366462678,2023,3,46,0,article,False,2837,245,0,7,7
W4382725174,2023,3,37,0,article,False,11,4,0,1,1
W4390871634,2024,3,40,0,article,False,7,1,2,3,5
W4391484939,2024,3,67,0,article,False,5,2,0,6,6
W4393111693,2024,3,45,0,article,False,24,9,0,1,1
W2809787282,2018,90,78,0,article,False,5,5,1,1,2
W2769897763,2017,88,95,0,review,False,4,4,5,0,5
W2993116133,2020,74,98,0,article,False,2901,257,1,5,6
W3122291569,2020,75,52,0,article,False,2,2,5,2,7
W2604409840,2017,84,122,0,review,False,10,4,2,2,4
W2786563304,2018,84,40,0,article,False,2852,250,1,1,2
W2900920975,2018,84,80,0,article,False,2874,262,0,6,6
W2612526608,2017,82,50,0,article,False,9,3,13,1,14
W3022252788,2020,81,171,0,article,False,2883,257,3,11,14
W4282937133,2022,82,58,0,article,False,6,7,1,0,1
W3038088335,2020,81,39,0,article,False,4,3,6,3,9
W2962762178,2019,81,81,0,article,False,2261,215,2,3,5
W4229066375,2022,70,53,0,article,False,2856,252,2,6,8
W2288983699,2016,78,36,0,article,False,3,2,4,0,4
W2739990171,2017,75,70,0,article,False,5,3,0,2,2
W2946224091,2019,71,221,0,article,False,2850,263,1,4,5
W3176886228,2021,71,168,0,article,False,2813,255,0,12,12
W2323913424,2016,76,31,0,article,False,2,1,10,0,10
W2895673306,2018,77,30,0,article,False,2,3,1,0,1
W2800650650,2018,75,82,0,article,False,4,4,3,1,4
W2901540897,2019,76,78,0,article,False,2896,256,1,4,5
W3155365501,2021,75,26,0,article,False,20,13,7,1,8
W3159239984,2021,76,17,0,article,False,34,28,1,0,1
W2510789027,2016,75,57,0,article,False,2,1,1,1,2
W4224004358,2022,72,85,0,review,False,4,3,2,3,5
W2281933602,2016,71,28,0,article,False,5,4,1,0,1
W2788435232,2018,69,28,0,article,False,4,4,13,1,14
W2942224722,2019,70,48,2,article,False,6,3,2,0,2
W2944710259,2019,69,131,0,article,False,9,4,11,4,15
W3126074545,2016,69,74,0,article,False,2,2,9,0,9
W2811448914,2018,70,58,0,article,False,2877,256,0,3,3
W2767534648,2018,69,86,0,article,False,2840,253,2,5,7
W2994804089,2020,64,96,0,article,False,2892,253,2,2,4
W3035502689,2020,66,17,0,article,False,12,6,2,2,4
W2753865463,2017,67,31,0,article,False,5,2,19,0,19
W2908327153,2018,67,45,0,article,False,2,1,5,0,5
W2898821016,2018,65,30,4,article,False,5,2,6,0,6
W1897921166,2016,64,96,0,article,False,2823,244,1,1,2
W2798127201,2018,64,51,0,article,False,5,4,7,1,8
W2724891500,2017,63,36,0,article,False,2813,247,4,1,5
W2899839204,2018,62,49,0,article,False,2854,255,3,3,6
W2969369747,2019,63,67,0,article,False,5,3,2,0,2
W4205651720,2021,51,157,0,article,False,146,106,0,2,2
W2808617619,2018,60,75,0,article,False,3,3,3,0,3
W4306353010,2022,62,143,0,article,False,108,72,0,2,2
W2442001974,2016,61,67,0,article,False,3,2,2,0,2
W4385428330,2023,60,28,0,article,False,2849,271,2,5,7
W2965261951,2019,55,28,0,article,False,2,4,0,1,1
W3035034999,2020,59,155,0,article,False,2878,254,5,6,11
W3086454447,2020,59,141,0,article,False,2,1,2,1,3
W4280530914,2022,59,34,0,article,False,4,4,4,1,5
W2950293456,2020,56,71,0,article,False,2,1,3,0,3
W2981457903,2020,55,108,0,article,False,2894,258,4,6,10
W4230078551,2019,52,29,0,article,False,13,11,2,1,3
W4283650591,2022,57,82,0,article,False,8,7,0,2,2
W2784094280,2018,55,30,0,article,False,5,3,0,1,1
W2897919870,2018,56,74,0,review,False,2,1,1,1,2
W3129959898,2021,56,122,0,review,False,2,1,0,3,3
W3081205401,2020,54,49,0,article,False,3,3,0,2,2
W2172043897,2016,54,92,0,article,False,2812,240,1,1,2
W2884159946,2018,54,63,0,article,False,5,4,2,2,4
W3094136409,2020,54,76,0,article,False,6,7,3,1,4
W2564157693,2017,45,52,0,article,False,3,1,5,0,5
W2600269031,2017,53,25,0,article,False,3,3,5,1,6
W2936750025,2019,53,109,0,article,False,6,5,2,0,2
W2968659858,2019,50,96,0,article,False,2275,198,1,3,4
W2917811447,2019,48,83,0,article,False,2923,255,2,4,6
W2596997902,2017,50,57,0,article,False,5,4,2,2,4
W2621469050,2017,50,71,0,article,False,5,2,1,0,1
W2732960953,2017,50,30,2,article,False,8,4,0,1,1
W2907323068,2019,50,63,0,article,False,2910,256,10,5,15
W2971008919,2019,38,92,0,article,False,2881,261,1,3,4
W4281633350,2022,49,172,0,review,False,4,1,5,7,12
W2741177915,2017,47,45,0,article,False,7,1,1,1,2
W2808019650,2017,39,78,0,article,False,2791,252,2,2,4
W2884241072,2019,46,79,0,article,False,2836,254,5,3,8
W2898094765,2018,49,29,0,article,False,8,4,5,1,6
W3037355174,2020,50,44,0,article,False,2269,199,0,2,2
W3154472040,2021,47,26,0,article,False,4,1,1,1,2
W3198152929,2021,48,89,0,article,False,2322,224,1,1,2
W4206350156,2022,48,45,0,article,False,2,2,1,0,1
W2593263443,2017,47,12,0,article,False,2,2,0,1,1
W3080275719,2020,47,57,0,article,False,3,3,3,11,14
W3209593805,2021,47,32,0,article,False,6,3,1,4,5
W3141284861,2021,45,67,0,article,False,5,4,0,1,1
W4390873343,2023,46,55,0,article,False,7,5,1,3,4
W2782725351,2018,45,54,0,article,False,2263,210,1,3,4
W3035076551,2020,44,50,0,article,False,2895,257,8,9,17
W3197468999,2021,45,80,0,article,False,8,5,2,7,9
W2417598524,2016,43,38,0,article,False,10,3,2,0,2
W2792023983,2018,44,30,0,article,False,4,2,2,0,2
W3120584803,2021,42,109,0,article,False,2343,214,2,0,2
W3160589955,2021,44,41,0,article,False,3,2,1,1,2
W4206771140,2019,43,0,0,article,False,0,0,1,0,1
W1901591891,2016,43,99,0,article,False,2817,246,5,2,7
W2767360608,2017,41,54,0,article,False,5,3,3,0,3
W2794899337,2018,42,36,0,article,False,6,5,3,0,3
W2963299676,2019,42,54,0,article,False,2860,254,0,6,6
W2343270813,2016,29,58,0,article,False,6,2,6,0,6
W2762286066,2017,42,43,1,article,False,4,3,2,2,4
W2804667894,2018,39,72,0,article,False,2864,261,0,3,3
W2533707330,2016,57,33,0,article,False,9,3,5,0,5
W4392061631,2024,0,30,0,article,False,0,0,0,2,2
W4392455631,2024,0,12,0,article,False,0,0,0,2,2
W4393867152,2024,0,20,0,article,False,0,0,0,1,1
W2604918559,2017,25,32,0,article,False,4,2,1,0,1
W2741903297,2017,25,10,0,article,False,2,1,5,0,5
W2889753148,2018,19,33,0,article,False,7,3,1,1,2
W2741167011,2017,0,15,0,article,False,0,0,0,1,1
W2710002669,2017,1,20,0,article,False,1,1,0,1,1
W2744040021,2017,1,18,0,article,False,4,1,0,4,4
W2745043613,2017,1,14,1,article,False,2,1,0,1,1
W2749527672,2017,1,24,0,article,False,6,3,1,0,1
W2758335377,2017,1,3,0,article,False,9,2,1,0,1
W2782959655,2017,1,115,0,article,False,3,1,0,1,1
W2798068854,2019,1,9,0,article,False,2,1,0,1,1
W2894081274,2018,1,9,1,article,False,9,3,0,3,3
W2909203452,2018,1,11,0,article,False,3,3,1,1,2
W2951695603,2019,1,27,0,preprint,False,4,1,1,0,1
W4247201353,2019,2,5,0,book,False,1,1,0,4,4
W4281711678,2022,2,28,0,article,False,5,5,1,0,1
W4283763065,2022,1,59,0,article,False,1,1,0,2,2
W4288075003,2022,2,65,0,preprint,False,8,2,0,3,3
W4288707867,2022,2,26,0,article,False,9,4,1,2,3
W4290759174,2022,2,43,0,article,False,1,1,1,0,1
W4292436424,2022,2,78,0,article,False,3,2,0,2,2
W4297793431,2023,2,17,0,article,False,3,2,2,0,2
W4297855182,2022,2,3,0,article,False,7,8,1,1,2
W4304891496,2022,2,24,0,article,False,6,6,0,1,1
W4307966556,2022,2,43,0,review,False,4,7,0,5,5
W4309402808,2022,2,91,0,article,False,3,2,0,1,1
W4310753179,2022,2,13,0,article,False,2,1,2,0,2
W4312205037,2022,1,22,0,article,False,1,1,0,1,1
W4319299833,2023,2,38,0,article,False,4,3,0,2,2
W4321456347,2023,2,48,0,article,False,11,7,0,3,3
W4322704072,2019,2,0,0,article,False,0,0,1,0,1
W4322753414,2023,2,47,0,article,False,3,3,0,1,1
W4360866998,2023,2,17,0,preprint,False,1,1,1,1,2
W4376112458,2023,3,62,0,preprint,False,20,14,0,3,3
W4378388213,2023,2,24,0,article,False,2,2,0,1,1
W4378470321,2023,2,50,0,article,False,4,4,1,0,1
W4378602821,2023,2,87,0,review,False,2,2,0,1,1
W4379881236,2023,2,17,0,article,False,3,3,0,1,1
W4382603255,2023,2,60,0,preprint,False,2,1,1,3,4
W4382631739,2023,2,0,0,article,False,0,0,1,0,1
W4383098893,2023,2,94,0,article,False,8,6,0,6,6
W4385067097,2023,2,43,0,article,False,2,1,0,1,1
W4385094221,2023,2,32,0,article,False,6,2,0,2,2
W4385152191,2023,2,25,0,article,False,6,4,0,2,2
W4385696292,2023,2,38,0,article,False,3,1,0,2,2
W4385705843,2023,2,31,0,article,False,7,1,0,2,2
W4385708140,2023,2,43,0,article,False,3,2,1,2,3
W4385709702,2023,2,18,0,article,False,3,3,2,1,3
W4386470539,2023,2,15,0,article,False,2,1,2,12,14
W4386479225,2023,2,70,0,article,False,3,3,0,3,3
W4387005822,2023,2,16,0,article,False,2,1,1,0,1
W4387221963,2023,2,94,0,book-chapter,False,6,2,0,8,8
W4387643685,2023,2,91,0,article,False,3,3,1,3,4
W4387720882,2023,2,38,0,article,False,4,4,0,1,1
W4387937924,2023,2,16,0,article,False,6,2,2,3,5
W4389192521,2023,2,22,0,article,False,3,3,1,1,2
W4389201592,2023,2,37,0,preprint,False,3,1,1,2,3
W4390276367,2023,2,49,0,article,False,3,2,0,6,6
W4392626881,2024,2,20,0,article,False,4,2,0,1,1
W2907631142,2019,1,50,0,article,False,2,1,1,2,3
W2953484374,2019,1,5,0,book-chapter,False,3,2,0,1,1
W2965493955,2019,1,23,0,article,False,2,1,1,2,3
W2965973554,2019,1,2,0,article,False,4,2,0,2,2
W2974737924,2019,1,2,0,article,False,4,1,0,1,1
W3132819167,2021,1,24,0,preprint,False,4,1,1,1,2
W4205893381,2022,1,13,0,article,False,3,1,0,4,4
W4214680538,2022,1,39,0,article,False,2,1,0,2,2
W4221155956,2022,1,21,0,book-chapter,False,3,1,0,2,2
W4223611294,2022,1,41,0,article,False,4,3,1,2,3
W4225143147,2022,1,34,0,article,False,6,3,1,4,5
W4229439296,2022,1,74,0,article,False,4,2,0,2,2
W4281697227,2022,1,5,0,article,False,3,3,1,0,1
W4282010147,2022,1,40,0,preprint,False,6,5,1,0,1
W4285143969,2022,1,67,0,book-chapter,False,2,1,0,1,1
W4285204817,2022,1,21,0,review,False,3,3,0,2,2
W4288455763,2022,1,36,0,article,False,6,2,0,1,1
W4297215876,2022,1,8,0,article,False,5,1,1,0,1
W4304185263,2022,1,45,0,article,False,2,2,0,3,3
W4306968136,2022,1,27,0,review,False,3,3,0,2,2
W4309656109,2022,1,15,0,article,False,8,2,0,1,1
W2442844098,2016,0,9,0,preprint,False,0,0,0,1,1
W3158045416,2021,4,45,0,article,False,6,4,2,4,6
W3158713734,2021,4,51,0,article,False,2,1,0,1,1
W3161708173,2020,4,48,0,preprint,False,4,2,1,7,8
W3187849492,2021,4,45,0,article,False,5,3,0,4,4
W3190389292,2021,4,41,0,article,False,3,3,0,1,1
W3196370607,2021,4,68,0,article,False,3,1,0,1,1
W3199785433,2021,5,42,0,article,False,4,3,0,2,2
W3206650364,2021,3,37,0,article,False,4,2,1,1,2
W3207407874,2021,4,14,0,article,False,11,5,0,1,1
W3207967359,2021,4,17,0,article,False,4,1,2,3,5
W3210094647,2021,4,13,0,article,False,3,3,0,1,1
W3212480536,2021,4,34,0,article,False,3,2,0,11,11
W4224244857,2022,4,47,0,article,False,2,5,1,6,7
W4249535163,2018,4,24,0,article,False,3,1,1,1,2
W4280595622,2022,4,36,0,article,False,4,1,0,2,2
W4284681918,2022,4,29,0,article,False,3,2,2,1,3
W2550295333,2016,1,0,0,article,False,0,0,1,0,1
W2554967868,2016,1,2,0,article,False,5,1,1,0,1
W2602520630,2017,1,7,0,article,False,1,2,0,1,1
W2624108317,2017,1,30,0,article,False,3,1,0,1,1
W2753855134,2017,1,16,0,article,False,2,1,0,1,1
W2424484666,2016,2,6,0,article,False,5,6,1,0,1
W2491210165,2016,2,17,0,article,False,4,1,1,1,2
W2545431179,2016,2,35,0,preprint,False,2,1,1,1,2
W2547386464,2016,2,5,0,article,False,3,1,1,0,1
W2551976705,2016,2,7,0,preprint,False,4,3,0,1,1
W2586077874,2017,2,12,0,article,False,4,5,1,0,1
W2604724669,2017,2,8,0,article,False,3,1,1,0,1
W2620099091,2017,2,20,0,article,False,2,2,0,3,3
W2782349218,2018,2,29,0,article,False,8,4,1,2,3
W2790514834,2018,2,53,0,preprint,False,5,3,1,1,2
W2807104434,2017,2,11,0,article,False,6,2,1,1,2
W2889984557,2018,2,14,0,book-chapter,False,8,5,0,2,2
W2890762553,2018,2,24,0,preprint,False,3,1,0,1,1
W2898620201,2018,2,12,0,article,False,5,2,0,1,1
W2904466066,2018,2,19,0,article,False,3,1,1,1,2
W2906367472,2018,2,8,0,article,False,1,2,0,1,1
W2921407903,2019,2,18,0,book-chapter,False,2,2,0,1,1
W2952013072,2019,2,23,0,preprint,False,6,2,0,1,1
W2954077011,2019,2,20,0,preprint,False,3,2,0,1,1
W2968050097,2019,2,23,0,article,False,4,1,1,0,1
W2971295145,2019,2,21,0,article,False,3,4,0,1,1
W2973754823,2019,2,13,0,article,False,3,2,1,1,2
W2980026571,2019,2,16,0,preprint,False,3,1,0,1,1
W3093173857,2022,2,50,0,article,False,2,2,0,1,1
W3129889867,2021,2,0,0,article,False,0,0,2,0,2
W3129946114,2021,2,22,0,preprint,False,4,4,0,1,1
W4248946074,2020,12,44,0,article,False,1,1,0,1,1
W4280586731,2022,11,74,0,article,False,12,6,1,3,4
W4366729095,2023,12,33,0,article,False,3,1,1,3,4
W4388023111,2023,12,47,0,article,False,10,4,3,11,14
W4388140199,2023,12,59,0,article,False,3,2,2,0,2
W4393857892,2024,12,67,0,article,False,20,5,2,3,5
W4394571531,2024,10,62,0,article,False,14,14,0,2,2
W2345408328,2016,12,19,0,article,False,3,1,1,0,1
W2806288041,2018,11,16,0,article,False,6,3,2,1,3
W3015308604,2020,11,29,0,article,False,68,49,1,0,1
W3133417272,2021,10,70,0,article,False,7,2,1,0,1
W3158550040,2021,11,117,0,book-chapter,False,3,1,3,0,3
W3188676998,2021,11,13,0,article,False,5,1,5,6,11
W3205744440,2021,11,60,0,article,False,3,2,0,1,1
W4296709256,2022,11,163,0,article,False,5,4,3,1,4
W4302933549,2022,11,36,0,article,False,5,3,1,0,1
W4380304484,2023,12,12,0,article,False,9,8,2,1,3
W4382051293,2023,11,19,0,article,False,9,2,0,2,2
W4390607664,2024,11,29,0,article,False,3,1,1,3,4
W2767053591,2017,10,13,0,article,False,5,1,0,1,1
W2789381182,2018,11,63,0,preprint,False,9,1,0,1,1
W2937649785,2019,11,23,0,article,False,2,1,1,1,2
W2950852199,2018,10,43,0,article,False,5,2,1,0,1
W2952090780,2019,11,8,0,article,False,5,1,2,2,4
W3034026208,2020,10,16,0,article,False,3,2,0,5,5
W3080348470,2020,10,23,0,article,False,6,3,0,1,1
W3108162773,2020,9,52,0,article,False,2,3,2,6,8
W3108450515,2020,10,40,0,article,False,3,3,0,1,1
W4282563950,2022,9,53,0,article,False,3,3,3,3,6
W4283078232,2022,9,33,0,article,False,6,5,1,2,3
W4296558822,2022,10,36,0,article,False,4,1,0,4,4
W4322730804,2023,10,240,0,article,False,8,9,0,2,2
W4362733065,2023,10,48,0,article,False,7,1,0,1,1
W4390872052,2023,10,75,0,article,False,6,3,0,1,1
W4396546342,2024,11,304,0,article,False,3,1,0,21,21
W2766570436,2017,9,41,0,preprint,False,4,2,0,2,2
W2766773060,2018,9,19,0,article,False,2,2,1,0,1
W3011395146,2019,9,19,0,article,False,2,1,1,0,1
W3096414051,2020,9,8,0,article,False,6,2,5,1,6
W3098713788,2019,9,122,0,article,False,6,2,1,1,2
W3139226479,2021,9,74,0,article,False,5,1,0,2,2
W4282841441,2022,9,16,0,article,False,1,1,1,0,1
W4301398220,2022,9,79,0,review,False,11,12,3,3,6
W4310450715,2022,9,30,0,article,False,3,1,6,3,9
W4390055310,2023,9,160,0,article,False,5,2,0,4,4
W4390061330,2023,8,25,0,article,False,7,8,0,2,2
W4391608509,2024,9,39,0,article,False,4,2,0,5,5
W2588788996,2016,8,18,0,article,False,4,1,5,1,6
W2793419385,2018,3,33,0,preprint,False,6,4,0,1,1
W2996310184,2019,8,16,0,article,False,5,4,1,0,1
W3118792184,2021,8,57,0,article,False,51,36,0,1,1
W3141402887,2021,8,16,1,article,False,5,3,0,1,1
W4214889796,2022,8,70,0,article,False,82,57,0,1,1
W4224805285,2022,8,2,0,article,False,11,6,1,1,2
W4237401584,2021,8,67,0,article,False,5,4,0,1,1
W4311182315,2022,8,92,0,article,False,5,9,0,2,2
W4385553341,2023,10,57,0,article,False,17,6,1,3,4
W4390581773,2024,8,54,0,article,False,5,2,1,3,4
W4399645310,2024,10,352,0,article,False,10,12,0,17,17
W2724412522,2017,7,71,0,preprint,False,2,1,0,1,1
W2962701603,2019,7,19,0,preprint,False,3,2,0,4,4
W2969984570,2019,7,33,0,article,False,4,4,1,2,3
W2971940003,2019,7,40,0,article,False,5,2,3,1,4
W2972937077,2019,7,39,0,article,False,5,4,2,0,2
W3015723673,2020,7,24,0,article,False,5,2,3,3,6
W3016751541,2022,7,83,0,article,False,3,3,2,0,2
W3129040772,2021,7,32,0,book-chapter,False,4,2,0,1,1
W3137680490,2021,7,12,0,article,False,6,2,2,4,6
W3203058270,2021,7,73,0,preprint,False,10,6,0,4,4
W3205071138,2021,7,70,0,article,False,2,1,4,3,7
W3216209701,2021,7,74,0,article,False,5,2,0,6,6
W4220770999,2022,7,64,0,article,False,10,6,1,7,8
W4226132814,2022,7,67,0,article,False,3,2,0,5,5
W4248662190,2018,7,56,0,preprint,False,6,6,1,2,3
W4285803331,2022,7,52,0,article,False,11,5,2,3,5
W4312163398,2022,7,40,0,article,False,3,4,1,1,2
W4313544486,2023,7,38,0,article,False,5,1,2,1,3
W4366550031,2023,6,41,0,article,False,5,2,1,0,1
W4379966311,2024,7,54,0,preprint,False,5,3,0,1,1
W4382047893,2023,7,31,0,article,False,18,4,0,1,1
W4385275612,2023,7,53,0,article,False,11,6,1,2,3
W4385276821,2023,7,43,0,article,False,8,2,0,9,9
W4385549376,2023,8,110,0,article,False,12,9,1,0,1
W4386857852,2023,7,6,0,article,False,5,1,1,1,2
W4391147421,2024,8,88,0,article,False,6,2,0,1,1
W4392115787,2024,7,81,0,article,False,10,6,0,7,7
W2779514017,2017,6,38,0,article,False,5,3,4,2,6
W2912833057,2018,6,17,0,article,False,3,3,1,1,2
W2922399877,2019,6,0,0,article,False,0,0,1,0,1
W2940676611,2018,6,41,0,article,False,5,2,3,3,6
W3049057647,2020,5,26,0,article,False,4,3,0,4,4
W3108616377,2022,6,89,0,article,False,3,3,3,4,7
W3174749316,2021,6,22,5,article,False,6,2,0,1,1
W3183934956,2021,6,27,0,article,False,2,1,0,2,2
W3200377900,2021,6,73,0,article,False,7,2,0,4,4
W4200581841,2021,6,50,0,article,False,2,1,0,3,3
W4226199523,2022,6,39,0,book-chapter,False,8,1,1,0,1
W3022504219,2020,105,28,0,article,False,8,5,1,0,1
W4401026903,2024,0,58,0,article,False,0,0,0,6,6
W4401638102,2024,0,34,0,article,False,0,0,0,11,11
W4402043815,2024,0,80,0,review,False,0,0,0,1,1
W4402778115,2024,0,59,0,article,False,0,0,0,2,2
W4402814856,2024,0,74,0,article,False,0,0,0,5,5
W4403748040,2024,0,9,0,article,False,0,0,0,2,2
W4404102052,2024,0,32,0,article,False,0,0,0,4,4
W4404165002,2024,0,61,0,article,False,0,0,0,1,1
W4404312878,2024,0,74,0,article,False,0,0,0,7,7
W4404378350,2024,0,66,0,article,False,0,0,0,4,4
W2525953653,2016,48,34,0,article,False,19,7,6,1,7
W2345503927,2016,45,77,0,article,False,3,2,11,0,11
W2962802054,2018,47,32,0,article,False,3,1,6,0,6
W4309576059,2022,48,49,0,article,False,3,2,1,0,1
W4292939486,2022,48,285,0,review,False,4,1,3,3,6
W3180321352,2021,45,70,0,article,False,8,5,2,0,2
W2884934006,2018,44,40,0,article,False,5,4,2,0,2
W2524989212,2016,42,33,0,article,False,8,1,4,2,6
W2615920697,2017,39,60,0,article,False,3,5,4,2,6
W3107856286,2020,43,28,0,article,False,6,3,5,2,7
W3134039087,2021,44,142,0,review,False,2,1,3,11,14
W3130996286,2021,42,36,0,article,False,29,20,5,0,5
W4368363427,2023,43,45,0,article,False,5,3,2,0,2
W2588455985,2016,42,62,0,article,False,7,2,3,0,3
W2789783317,2018,41,58,0,article,False,2,1,4,1,5
W2962534509,2019,41,39,0,article,False,6,4,2,2,4
W2964593027,2019,41,13,0,article,False,3,2,2,0,2
W2773062332,2017,40,55,0,article,False,4,1,2,0,2
W2800773882,2018,40,29,0,article,False,6,2,1,1,2
W2908856464,2019,40,47,0,article,False,2,1,1,1,2
W2925329841,2019,35,42,0,article,False,2,1,2,1,3
W3007235251,2022,40,128,0,article,False,3,2,10,9,19
W2268417459,2018,37,52,0,article,False,2,4,1,0,1
W3197918180,2022,39,82,0,article,False,67,45,0,4,4
W4312764179,2022,39,51,0,article,False,4,2,2,2,4
W4321116989,2023,41,78,0,article,False,21,14,1,0,1
W2395672996,2016,38,75,0,article,False,3,1,8,0,8
W2912176814,2019,39,17,0,article,False,5,1,1,1,2
W3037066305,2020,38,73,0,article,False,3,3,4,2,6
W2977940758,2019,37,113,0,article,False,3,3,5,5,10
W3048372262,2020,38,190,0,review,False,2,1,1,1,2
W3148902524,2021,37,49,0,article,False,45,38,1,1,2
W3188945072,2021,37,49,0,article,False,15,4,8,1,9
W2339603787,2016,36,77,0,article,False,2,1,3,0,3
W3011658714,2020,35,42,0,article,False,4,1,3,0,3
W3192547154,2021,35,53,0,article,False,2,1,18,3,21
W4220709736,2022,36,27,0,article,False,8,1,1,1,2
W2772905801,2017,35,73,0,article,False,3,1,0,3,3
W2805067296,2018,33,53,1,article,False,6,2,4,0,4
W2940346687,2019,34,25,0,article,False,7,6,0,2,2
W2962676888,2018,33,83,0,article,False,2,2,3,3,6
W2997815840,2019,34,26,0,article,False,3,2,3,5,8
W3042115440,2021,34,60,0,article,False,2,1,1,0,1
W3137007103,2021,33,55,0,article,False,3,1,2,2,4
W2739725370,2017,32,67,0,article,False,2,3,0,1,1
W2796793165,2018,32,74,0,article,False,5,5,0,1,1
W3026325780,2022,32,124,0,article,False,2,2,4,4,8
W3161702062,2021,34,34,0,article,False,8,3,2,1,3
W4213328722,2021,33,63,0,article,False,3,2,6,1,7
W2625895345,2017,32,76,0,article,False,2,1,6,2,8
W2759102737,2017,32,52,2,article,False,6,2,5,3,8
W2774528717,2017,33,42,0,article,False,6,1,11,6,17
W2806063906,2019,32,54,0,article,False,3,1,2,5,7
W4367625857,2023,31,77,0,article,False,17,2,2,8,10
W2524909356,2016,31,47,0,article,False,10,4,1,0,1
W2605371109,2017,31,51,0,article,False,4,1,0,1,1
W2418983643,2016,30,0,0,article,False,0,0,1,0,1
W3138739191,2021,31,38,0,article,False,2,2,1,0,1
W4318703656,2023,31,60,0,article,False,165,87,0,6,6
W2346663435,2016,29,52,0,article,False,2,2,1,0,1
W2589537403,2017,29,31,0,article,False,4,4,1,1,2
W2797733738,2018,29,59,0,article,False,2,1,4,1,5
W2979331394,2019,29,33,0,article,False,3,2,2,0,2
W4366609661,2023,23,121,0,article,False,11,9,1,5,6
W4388629253,2023,24,42,0,article,False,15,13,0,1,1
W2589426778,2017,29,34,0,article,False,7,5,2,1,3
W2740931275,2017,28,69,0,article,False,4,1,3,1,4
W2811000188,2018,23,33,0,article,False,8,8,0,1,1
W2907008974,2018,28,47,0,review,False,2,1,2,0,2
W3122212430,2023,28,30,0,article,False,3,3,0,1,1
W3101749931,2021,27,48,0,article,False,90,56,2,1,3
W3143145803,2021,27,47,0,article,False,2,1,2,4,6
W4313650737,2023,27,62,0,review,False,4,7,1,0,1
W3120554000,2021,27,90,0,article,False,76,57,1,5,6
W2280332364,2016,25,53,0,article,False,8,3,2,0,2
W2918772958,2019,23,105,0,article,False,5,7,0,1,1
W2934886681,2019,24,52,0,article,False,6,3,1,1,2
W3119936137,2021,23,40,0,article,False,8,3,5,2,7
W4280508350,2022,24,61,0,article,False,7,5,1,3,4
W2283091999,2016,23,61,0,review,False,4,1,1,0,1
W2583876468,2017,23,19,0,article,False,6,5,3,1,4
W3108015722,2020,23,35,0,article,False,3,2,0,6,6
W3164524325,2022,22,55,0,article,False,6,7,2,1,3
W3067448387,2021,23,107,0,article,False,60,44,1,3,4
W3094257888,2020,22,39,0,article,False,2,1,3,2,5
W2596187799,2017,21,50,0,article,False,10,12,2,0,2
W2736037479,2017,21,17,0,article,False,6,4,1,1,2
W3136523593,2021,21,24,0,article,False,2,2,1,1,2
W2295627984,2016,19,38,0,article,False,9,6,1,0,1
W2888879692,2018,20,50,0,article,False,2,2,0,3,3
W3087041918,2020,20,34,0,article,False,4,3,3,2,5
W4214879959,2022,20,40,0,article,False,2,2,1,0,1
W4285491155,2022,19,69,0,article,False,29,20,1,4,5
W4297471009,2022,22,175,0,book,False,4,3,1,4,5
W4386826774,2023,21,67,0,article,False,11,1,0,1,1
W4375843457,2023,20,85,0,article,False,10,10,1,4,5
W2807294726,2018,18,60,0,article,False,2,2,0,2,2
W3119167128,2021,18,99,0,article,False,8,3,0,1,1
W4200075238,2021,16,0,0,book-chapter,False,0,0,1,0,1
W2791117510,2018,17,56,0,article,False,6,2,1,0,1
W2602865081,2017,0,16,0,book-chapter,False,0,0,0,2,2
W2625642733,2017,0,30,0,book-chapter,False,0,0,0,1,1
W2751371451,2017,0,28,0,article,False,0,0,0,1,1
W4213204524,2022,0,25,0,article,False,0,0,0,2,2
W4226251518,2021,0,3,0,article,False,0,0,0,3,3
W4396666084,2024,0,51,0,article,False,0,0,0,6,6
W4398221169,2024,0,96,0,article,False,0,0,0,1,1
W4399727598,2024,0,18,0,article,False,0,0,0,3,3
W4401385899,2024,0,35,0,article,False,0,0,0,1,1
W4401744880,2024,0,87,0,preprint,False,0,0,0,2,2
W4401753117,2024,0,26,0,article,False,0,0,0,2,2
W4402076066,2024,0,63,0,article,False,0,0,0,3,3
W4404039283,2024,0,37,0,article,False,0,0,0,1,1
W4404076139,2024,0,76,0,article,False,0,0,0,1,1
W4405219894,2024,0,63,0,article,False,0,0,0,1,1
W4405574006,2024,0,53,0,article,False,0,0,0,3,3
W4405623224,2024,0,73,0,article,False,0,0,0,1,1
W2601081289,2017,3384,142,4,article,False,34,16,7,0,7
W2603766943,2017,3094,17,37,article,False,6,4,23,1,24
W3030195953,2020,592,85,0,review,False,12,20,6,0,6
W2191767709,2016,451,220,0,article,False,6,2,9,1,10
W2340317801,2016,291,101,0,article,False,3,3,1,0,1
W2214512000,2016,220,51,0,article,False,4,5,2,0,2
W2320109070,2016,206,96,0,article,False,5,3,6,0,6
W4245041963,2016,207,0,1,book,False,0,0,5,0,5
